index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
5753;Fiona;LAZAAR;femme;checked;095-05;LRM;;Ensemble ! (Majorité présidentielle);
5754;Stéphanie;HENRY;femme;;095-05;Reconquête;;Divers extrême droite;
5755;Dienabou;KOUYATE;femme;;095-05;MdP;;Divers gauche;
5756;Paul;VANNIER;homme;;095-05;LFI;;La France Insoumise;https://twitter.com/PaulVannierFI
5757;Mehdi;LALLAOUI;homme;;095-05;REG;;Régionaliste;
5758;Rémy;ARBAOUI;homme;;095-05;DIV;;Divers;
5759;Dominique;MARIETTE;homme;;095-05;LO;;Divers extrême gauche;
5760;Fabienne;DAUMAS;femme;;095-05;RN;;Rassemblement National;
5761;Mathilde;SAPIN;femme;;095-05;Parti animaliste;;Ecologistes;
5762;Gilles;SAVRY;homme;;095-05;LR;;Les Républicains;
5763;Cheickna;TRAORE;homme;;095-05;DVG;;Divers gauche;
5764;Anaïs;FERDEL;femme;;095-06;Reconquête;;Reconquête !;
5765;Samir;LASSOUED;homme;;095-06;PS;checked;Parti socialiste;
5766;Annika;BRUNA;femme;;095-06;RN;;Rassemblement National;
5767;Gabrielle;CATHALA;femme;;095-06;LFI;;La France Insoumise;https://twitter.com/GabrielleCthl
5768;Agnès;REINMANN;femme;;095-06;LO;;Divers extrême gauche;
5769;Philippe;DEMARQUEZ;homme;;095-06;Parti animaliste;;Ecologistes;
5770;Nicolas;FLAMENT;homme;;095-06;LR;;Les Républicains;
