index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
1460;Jean-François;PORTARRIEU;homme;checked;031-05;LRM;;Ensemble ! (Majorité présidentielle);
1461;Johanna;VELO;femme;;031-05;Parti animaliste;;Ecologistes;
1462;Alizée;MOSDIER;femme;;031-05;PRG;;Parti radical de gauche;
1463;Anne;GRIEU;femme;;031-05;Parti pirate;;Divers;
1464;Laurence;GOMBERT;femme;;031-05;DVG;;Divers gauche;
1465;Christelle;HELMAN;femme;;031-06;FGR;;Divers gauche;
1466;Michele;PUEL;femme;;031-06;LO;;Divers extrême gauche;
1467;Fabien;JOUVE;homme;;031-06;PS;;Parti socialiste;
1468;Thierry;TARANTO;homme;;031-06;DVD;;Divers droite;
1469;Dominique;PIUSSAN;femme;;031-06;Reconquête;;Reconquête !;
1470;Tristan;MARTIN;homme;;031-06;DVG;;Divers gauche;
1471;Monique;IBORRA;femme;checked;031-06;LRM;;Ensemble ! (Majorité présidentielle);
1472;Sandra;LAPORTE;femme;;031-06;DVE;;Ecologistes;
1473;Marc;QUINTON;homme;;031-06;Parti pirate;;Divers;
1474;Lydia;AIELLO;femme;;031-06;RN;;Rassemblement National;
1475;Sylvie;BONNEMAISON;femme;;031-06;Résistons;;Divers droite;
1476;Christophe;ALVES;homme;;031-06;LR;;Les Républicains;
1477;Servane;PATER;femme;;031-06;Parti animaliste;;Ecologistes;
1478;Delphine;LANOIX;femme;;031-06;Patriotes;;Droite souverainiste;
1479;Stéphane;ALBERT;homme;;031-07;REG;;Régionaliste;
1480;Elisabeth;TOUTUT-PICARD;femme;;031-07;LRM;;Ensemble ! (Majorité présidentielle);
1481;Georges-Henri;TESSEREAU;homme;;031-07;Reconquête;;Reconquête !;
1482;Christophe;BEX;homme;;031-07;LFI;;La France Insoumise;https://twitter.com/ChristopheBex
1483;Romain;VON DEYEN;homme;;031-07;Parti animaliste;;Ecologistes;
1484;Hervé;BERGNES;homme;;031-07;LO;;Divers extrême gauche;
1485;Florent;THUARD;homme;;031-07;Patriotes;;Droite souverainiste;
1486;Emmanuelle;PINATEL;femme;;031-07;RN;;Rassemblement National;
1487;Julien;MIDALI;homme;;031-07;PRG;;Divers gauche;
1488;Sophie;ETCHEVERRY;femme;;031-07;Parti pirate;;Divers;
1489;Angelique;EYMOND;femme;;031-07;Résistons;;Divers droite;
1490;Christophe;BANCHERIT;homme;;031-07;LR;;Les Républicains;
1491;Joël;AVIRAGNET;homme;checked;031-08;PS;checked;Parti socialiste;https://twitter.com/JAviragnet
1492;Annabelle;FAUVERNIER;femme;;031-08;EE-LV;;Divers gauche;https://twitter.com/AnnabelleFauve
1493;Martine;GUIRAUD;femme;;031-08;LO;;Divers extrême gauche;
1494;Céline;LAURENTIES-BARRERE;femme;;031-08;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
1495;Loic;DELCHARD;homme;;031-08;RN;;Rassemblement National;
1496;Wilfried;SERRE;homme;;031-08;Résistons;;Divers droite;
1497;François;HARARI;homme;;031-08;SOUV;;Divers gauche;
1498;Vartan;KARNIKIAN;homme;;031-08;DIV;;Divers;
1499;Amélie;BAILLY;femme;;031-08;DLF;;Droite souverainiste;
1500;Yves;RIERE;homme;;031-08;Reconquête;;Reconquête !;
1501;Simon;MONCASI;homme;;031-08;Parti animaliste;;Ecologistes;
1502;Juliette;DOROY;femme;;031-09;Parti animaliste;;Ecologistes;
1503;Damien;COLOMINA;homme;;031-09;DVG;;Divers gauche;
1504;Jérôme;AUDISIO;homme;;031-09;Reconquête;;Reconquête !;
1505;Christine;ARRIGHI;femme;;031-09;EE-LV;;Ecologistes;https://twitter.com/ChArrighi
1506;Sandrine;MÖRCH;femme;checked;031-09;LRM;;Ensemble ! (Majorité présidentielle);
1507;Henri;MARTIN;homme;;031-09;LO;;Divers extrême gauche;
1508;Thomas;BARKATS;homme;;031-09;RN;;Rassemblement National;
1509;Robert;BAUD;homme;;031-09;DVE;;Ecologistes;
1510;Cecile;DUFRAISSE;femme;;031-09;LR;;Les Républicains;
1511;Younès;BENSLIMANE;homme;;031-09;Parti pirate;;Divers;
1512;Chantal;SIRUGUE;femme;;031-09;EXG;;Divers extrême gauche;
1513;Paul;RÜMLER;homme;;031-09;FGR;;Divers gauche;
1514;Alice;ASSIER;femme;;031-10;Génération·s;;Ecologistes;
1515;Eric;SCHMITT;homme;;031-10;DVG;;Divers gauche;
1516;Christelle;POIRIER;femme;;031-10;RN;;Rassemblement National;
1517;Ghislaine;BOURLAND;femme;;031-10;Reconquête;;Reconquête !;
1518;Gilles;CORSO;homme;;031-10;DVG;;Divers;
1519;Séverine;GIMENO;femme;;031-10;DVE;;Ecologistes;
1520;Sandrine;CONTE MARGAIL;femme;;031-10;Parti animaliste;;Ecologistes;
1521;Stéphanie;RESPAUD;femme;;031-10;LR;;Les Républicains;
1522;Lucile;SOUCHE;femme;;031-10;LO;;Divers extrême gauche;
1523;Baptiste;MARQUIE;homme;;031-10;Résistons;;Divers droite;
1524;Réda;ZITOUNI;homme;;031-10;LRM;checked;Divers centre;
1525;Nadine;PALAT;femme;;031-10;EXG;;Divers extrême gauche;
1526;Dominique;FAURE;femme;;031-10;LRM;;Ensemble ! (Majorité présidentielle);
1527;Jean-Luc;YELMA;homme;;032-01;RN;;Rassemblement National;
1528;Aurore;CAZES;femme;;032-01;Reconquête;;Reconquête !;
1529;Nadine;LARRÉ;femme;;032-01;DIV;;Ecologistes;
1530;Maggy;OLIVIER-GOMOLKO;femme;;032-01;DLF;;Droite souverainiste;
1531;Pascal;LEVIEUX;homme;;032-01;LFI;;La France Insoumise;
1532;Jean-Luc;DAVEZAC;homme;;032-01;REG;;Régionaliste;
1533;Jean-René;CAZENEUVE;homme;checked;032-01;LRM;;Ensemble ! (Majorité présidentielle);
1534;Bernadette;DEL CASTILLO;femme;;032-01;Parti animaliste;;Ecologistes;
1535;Sylvie;THEYE;femme;;032-01;PRG;;Parti radical de gauche;
1536;Jean-Louis;CHARETON;homme;;032-01;LO;;Divers extrême gauche;
1537;Maëva;BOURCIER;femme;;032-02;LRM;;Ensemble ! (Majorité présidentielle);
1538;Alice;CENDRÉ;femme;;032-02;RN;;Rassemblement National;
1539;Christopher;SOCCIO;homme;;032-02;DVC;;Divers;
1540;Michèle;MARTIN;femme;;032-02;LO;;Divers extrême gauche;
1541;Frank;GEIGER;homme;;032-02;SOUV;;Divers;
1542;Frédéric;FOURCADE DUTIN;homme;;032-02;REG;;Régionaliste;
1543;Sylvie;AGIER;femme;;032-02;Patriotes;;Droite souverainiste;
1544;Eric;MONTEIL;homme;;032-02;Reconquête;;Reconquête !;
1545;Michel;GABAS;homme;;032-02;LR;;Les Républicains;
1546;Angélique;GOUDENNE;femme;;032-02;EXG;;Divers extrême gauche;
1547;Merima;HUSEINBASIC;femme;;032-02;Parti animaliste;;Ecologistes;
1548;Françoise;DUBOS;femme;;032-02;LFI;;Divers gauche;
1549;Samira;TOUATI;femme;;032-02;FGR;;Divers gauche;
1550;David;TAUPIAC;homme;;032-02;PS;checked;Parti radical de gauche;
1551;Esther;DUFAURE;femme;;033-01;Parti animaliste;;Ecologistes;
1552;Xavier;LOUSTAUNAU;homme;;033-01;Horizons;checked;Divers droite;
1553;Isabelle;LARROQUET;femme;;033-01;NPA;;Divers extrême gauche;
1554;Claire;CHARTIER GRIMAUD;femme;;033-01;EXG;;Divers extrême gauche;
1555;Thomas;CAZENAVE;homme;;033-01;LRM;;Ensemble ! (Majorité présidentielle);
1556;Bruno;PALUTEAU;homme;;033-01;RN;;Rassemblement National;
1557;Jean-Louis;GRATTEPANCHE;homme;;033-01;Reconquête;;Reconquête !;
1558;Damien;THOMAS;homme;;033-01;FGR;;Divers gauche;
1559;Kylian;VISAGE;homme;;033-01;DIV;;Divers;
1560;Medhi;SABOULARD;homme;;033-01;DIV;;Divers gauche;
1561;Laurent;BLANCHARD;homme;;033-01;DIV;;Ecologistes;
1562;Pierre De Gaetan;NJIKAM;homme;;033-01;LR;;Les Républicains;
1563;Fanny;QUANDALLE;femme;;033-01;LO;;Divers extrême gauche;
1564;Catherine;CESTARI;femme;;033-01;EE-LV;;Ecologistes;https://twitter.com/catherinecesta
1565;Jean-Pierre;ROCHE;homme;;033-01;DIV;;Divers;
1566;Guy;DUPONT;homme;;033-02;LO;;Divers extrême gauche;
1567;Bruna;BELMONDO;femme;;033-02;MdR;;Divers droite;
1568;Maxime;LAMBERT;homme;;033-02;DIV;;Ecologistes;
1569;Catherine;FABRE;femme;checked;033-02;LRM;;Ensemble ! (Majorité présidentielle);
1570;Emmanuelle;CUNY;femme;;033-02;LR;;Les Républicains;
1571;Mikaël;MILLAC;homme;;033-02;DVD;;Divers droite;
1572;Didier;MAGNE;homme;;033-02;DIV;;Divers;
1573;Honorine;LAURENT;femme;;033-02;Parti animaliste;;Ecologistes;
1574;Nicolas;THIERRY;homme;;033-02;EE-LV;;Ecologistes;https://twitter.com/nthierry
1575;Pierre;LE CAMUS;homme;;033-02;RN;;Rassemblement National;
1576;Virginie;TOURNAY;femme;;033-02;Reconquête;;Reconquête !;
1577;Asia;DAYAN;femme;;033-03;UDI;;Union des Démocrates et des Indépendants;
1578;Yannick;BOUTOT;homme;;033-03;PRG;;Parti radical de gauche;
1579;Flora;SAVINO;femme;;033-03;DIV;;Divers;
1580;Éric;MARHADOUR;homme;;033-03;LO;;Divers extrême gauche;
1581;Loïc;PRUD'HOMME;homme;;033-03;LFI;;La France Insoumise;
1582;Morgan;MATHO;femme;;033-03;Parti pirate;;Divers;
1583;Fabien;ROBERT;homme;;033-03;MDM,LRM;;Ensemble ! (Majorité présidentielle);
1584;Laurent;MARC;homme;;033-03;DIV;;Divers;
1585;Cyrille;DOUMENGE;homme;;033-03;Reconquête;;Reconquête !;
1586;Maryvonne;BASTERES;femme;;033-03;RN;;Rassemblement National;
1587;François;DAUREL;homme;;033-03;EXG;;Divers extrême gauche;
1588;Thierry;VAY;homme;;033-03;Parti animaliste;;Ecologistes;
1589;Jean Patrice;FILLANG;homme;;033-04;Les Centristes,LR;;Divers droite;
1590;Marie-Mauricette, Simone;MATHIEU;femme;;033-04;DVD;;Droite souverainiste;
1591;Christine;GAILLARD;femme;;033-04;Résistons;;Divers droite;
1592;Ambre;DESTANDAU;femme;;033-04;Parti animaliste;;Ecologistes;
1593;Alain;DAVID;homme;checked;033-04;PS;;Parti socialiste;https://twitter.com/AlainDavid_AN
1594;Melissa;KARACA;femme;;033-04;LRM;;Ensemble ! (Majorité présidentielle);
1595;Monica;CASANOVA;femme;;033-04;NPA;;Divers extrême gauche;
1596;Anne-Isabelle;BRIVARY;femme;;033-04;LO;;Divers extrême gauche;
1597;Philippe;GARNIER;homme;;033-04;Reconquête;;Reconquête !;
1598;Julie;RECHAGNEUX;femme;;033-04;RN;;Rassemblement National;
1599;Kevin;BERNAUD;homme;;033-04;MdR;;Divers droite;
1600;Thierry;FAGEGALTIER;homme;;033-05;LO;;Divers extrême gauche;
1601;Virginie;BASTIEN;femme;;033-05;Parti animaliste;;Ecologistes;
1602;Olivier;MANEIRO;homme;;033-05;LFI;;La France Insoumise;
1603;Roxane;MAURY;femme;;033-05;Reconquête;;Reconquête !;
1604;Karine;NOUETTE GAULAIN;femme;;033-05;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
1605;Viviane;CHAINE-RIBEIRO;femme;;033-05;LR;;Les Républicains;
1606;Maryse;GHIBAUDO;femme;;033-05;DVD;;Droite souverainiste;
1607;Benoît;SIMIAN;homme;;033-05;LRM;checked;Divers centre;
1608;Grégoire;DE FOURNAS;homme;;033-05;RN;;Rassemblement National;
1609;Stéphane;SENCE;homme;;033-05;MdR;;Divers droite;
1610;Vincent;OPIFEX;homme;;033-05;DVG;;Divers;
1611;Guillaume;PERCHET;homme;;033-06;LO;;Divers extrême gauche;
1612;Jérôme;PARIS;homme;;033-06;Reconquête;;Reconquête !;
1613;Franck;BONHOMME;homme;;033-06;Résistons;;Divers droite;
1614;Vanessa;FERGEAU-RENAUX;femme;;033-06;PS;;Parti socialiste;
1615;Marc;MORISSET;homme;;033-06;DVG;;Divers gauche;
1616;Esther;MVONDO;femme;;033-06;DIV;;Ecologistes;
1617;Jonathan;FLORIT;homme;;033-06;DVG;;Droite souverainiste;
1618;Jean-Christophe;DE PINA;homme;;033-06;DIV;;Divers;
1619;Alain;ALVES;homme;;033-06;DLF;;Droite souverainiste;
1620;Raphael;CANOVAS;homme;;033-06;DIV;;Divers;
1621;Stephanie;PLOUVIER;femme;;033-06;Parti animaliste;;Ecologistes;
1622;Jimmy;BOURLIEUX;homme;;033-06;RN;;Rassemblement National;
1623;Eric;POULLIAT;homme;;033-06;LRM;;Ensemble ! (Majorité présidentielle);
1624;Thomas;DOVICHI;homme;;033-06;LR;;Les Républicains;
1625;Vincent;FOURNIER;homme;;033-07;Patriotes;;Droite souverainiste;
1626;John;MINGAM;homme;;033-07;DIV;;Divers;
1627;Jean-Renaud;FERRAN;homme;;033-07;LFI;;La France Insoumise;https://twitter.com/JRenaudFerran
1628;Benoît;RAUTUREAU;homme;;033-07;LR;;Les Républicains;
1629;Audrey;LEGENDRE;femme;;033-07;DIV;;Ecologistes;
1630;Dany;BONNET;homme;;033-07;Reconquête;;Reconquête !;
1631;Bérangère;COUILLARD;femme;checked;033-07;LRM;;Ensemble ! (Majorité présidentielle);
1632;Rozenn;BONNET;femme;;033-07;FGR;;Divers gauche;
1633;Anne-Marie;FRANCHISET;femme;;033-07;Parti animaliste;;Ecologistes;
1634;Francine;ERB;femme;;033-07;RN;;Rassemblement National;
1635;Monique;ORATTO;femme;;033-07;LO;;Divers extrême gauche;
1636;Marc;MORIN;homme;;033-08;LR;;Les Républicains;
1637;Rémy;COSTE;homme;;033-08;LO;;Divers extrême gauche;
1638;Alexane;ISNARD;femme;;033-08;Reconquête;;Reconquête !;
1639;Hans;BRUSTLÉ SANTINI;homme;;033-08;Parti animaliste;;Ecologistes;
1640;Sophie;PANONACLE;femme;checked;033-08;LRM;;Ensemble ! (Majorité présidentielle);
1641;Eric;RICHON;homme;;033-08;DIV;;Divers;
1642;Christele;PORTELAS LEPELLETIER;femme;;033-08;MdR;;Divers droite;
1643;Véronique;ROCCHI;femme;;033-08;DIV;;Divers;
1644;Alain;CHAUTEAU;homme;;033-08;DVG;;Divers gauche;
1645;Marylène;FAURE;femme;;033-08;PCF;;Parti communiste français;
1646;Lydie;RIVAULT;femme;;033-08;Patriotes;;Droite souverainiste;
1647;Laurent;LAMARA;homme;;033-08;RN;;Rassemblement National;
1648;Sacha;ANDRÉ;homme;;033-09;LFI;;La France Insoumise;
1649;Serge;DETRIEUX;homme;;033-09;PRG;;Parti radical de gauche;
1650;Jean-Philippe;DELCAMP;homme;;033-09;LO;;Divers extrême gauche;
1651;Sophie;METTE;femme;checked;033-09;MDM,LRM;;Ensemble ! (Majorité présidentielle);
1652;Damien;OBRADOR;homme;;033-09;RN;;Rassemblement National;
1653;Valérie;VILTET;femme;;033-09;Parti animaliste;;Ecologistes;
1654;Guillaume;BESSET;homme;;033-09;DVE;;Divers;
1655;Milène;GELLÉ;femme;;033-09;Patriotes;;Droite souverainiste;
1656;René;CARDOIT;homme;;033-09;LR;;Les Républicains;
1657;Sylvie;MANTEL;femme;;033-09;Reconquête;;Reconquête !;
1658;Jean-Claude;LALOUBÈRE;homme;;033-09;DIV;;Divers;
1659;Armelle;CRUSE;femme;;033-09;MdR;;Divers droite;
1660;Maëva;BOGO;femme;;033-09;SOUV;;Droite souverainiste;
1661;Sandrine;CHADOURNE;femme;;033-10;RN;;Rassemblement National;
1662;Florent;BOUDIÉ;homme;checked;033-10;LRM;;Ensemble ! (Majorité présidentielle);
1663;Pascal;BOURGOIS;homme;;033-10;EE-LV;;Ecologistes;https://twitter.com/psclbourgois
1664;Catherine;FLEURY;femme;;033-10;SOUV;;Droite souverainiste;
1665;Veronique, Raymond;PLANTON;femme;;033-10;PRG;;Parti radical de gauche;
1666;Muriel;BERNARD;femme;;033-10;DVG;;Divers gauche;
1667;Gonzague;MALHERBE;homme;;033-10;Reconquête;;Reconquête !;
1668;Amélie;GUILBERT;femme;;033-10;Parti animaliste;;Ecologistes;
1669;Hélène;HALBIN;femme;;033-10;LO;;Divers extrême gauche;
1670;Angélique;DEJONG-PAUSS;femme;;033-10;DVD;;Divers;
1671;Mathieu;CAILLAUD;homme;;033-11;LFI;;La France Insoumise;https://twitter.com/Gironde11Union
1672;Zina;AHMIMOU;femme;;033-11;LO;;Divers extrême gauche;
1673;Caroline;GOGUET;femme;;033-11;DIV;;Ecologistes;
1674;Caroline;CHALOPIN;femme;;033-11;Reconquête;;Reconquête !;
1675;Bastien;NOURY;homme;;033-11;PRG;;Parti radical de gauche;
1676;Eddie;PUYJALON;homme;;033-11;MdR;;Divers droite;
1677;Bruno;GRANGÉ;homme;;033-11;DLF;;Droite souverainiste;
1678;Regine;BLATTER;femme;;033-11;Parti animaliste;;Ecologistes;
1679;Edwige;DIAZ;femme;;033-11;RN;;Rassemblement National;
1680;Charles;RENY;homme;;033-11;DIV;;Divers gauche;
1681;Cécile;PICARD;femme;;033-11;LR;;Les Républicains;
1682;Véronique;HAMMERER;femme;checked;033-11;LRM;;Ensemble ! (Majorité présidentielle);
1683;Bruno;MARTY;homme;;033-12;FGR;checked;Divers gauche;
1684;Bastien;MERCIER;homme;;033-12;LR;;Les Républicains;
1685;Pascal;LAVERGNE;homme;;033-12;LRM;;Ensemble ! (Majorité présidentielle);
1686;Hager;JACQUEMIN;femme;;033-12;RN;;Rassemblement National;
1687;Yves;D'AMECOURT;homme;;033-12;MdR;;Divers droite;
1688;Richard;LAVIN;homme;;033-12;LO;;Divers extrême gauche;
1689;François-Xavier;MARQUES;homme;;033-12;Reconquête;;Reconquête !;https://twitter.com/marques_fx33
1690;Véronique;SILVERIO;femme;;033-12;Parti animaliste;;Ecologistes;
1691;Mathilde;FELD;femme;;033-12;LFI;;La France Insoumise;
1692;Yunyue;JACQUELIN;femme;;033-12;SOUV;;Droite souverainiste;
1693;Vincent;RIVET-MARTEL;homme;;034-01;DVE;;Ecologistes;
1694;Victor;ALZINGRE;homme;;034-01;Patriotes;;Droite souverainiste;
1695;Eva;ROUSSEL;femme;;034-01;REG;;Régionaliste;
1696;Michel;MOXIN;homme;;034-01;DVD;;Divers droite;
1697;Sylvie;TROUSSELIER;femme;;034-01;EXG;;Divers extrême gauche;
1698;Morgane;LACHIVER;femme;;034-01;LO;;Divers extrême gauche;
1699;Eric;CHAVEROCHE;homme;;034-01;LR;;Les Républicains;
1700;Florian;DEPRET;homme;;034-01;PS;checked;Parti radical de gauche;
1701;Julien;COLET;homme;;034-01;LFI;;La France Insoumise;https://twitter.com/Colet_Julien
1702;Hugo;LEBOON;homme;;034-01;DIV;;Divers;
1703;Patricia;MIRALLES;femme;;034-01;LRM;;Ensemble ! (Majorité présidentielle);
1704;France;JAMET;femme;;034-01;RN;;Rassemblement National;
1705;Jean-Philippe;COURNET;homme;;034-01;Parti animaliste;;Ecologistes;
1706;Florence;MEDINA;femme;;034-01;Reconquête;;Reconquête !;
1707;Patrice;BOCCADIFUOCO;homme;;034-01;MdR;;Divers droite;
1708;Mahfoud;BENALI;homme;;034-02;LRM;checked;Divers centre;
1709;Nathalie;OZIOL;femme;;034-02;LFI;;La France Insoumise;https://twitter.com/NathalieOziol
1710;Kadija;ZBAIRI;femme;;034-02;DVE;;Ecologistes;
1711;Manuel;ROQUE;homme;;034-02;UDMF;;Divers gauche;
1712;Didier;MICHEL;homme;;034-02;LO;;Divers extrême gauche;
1713;Fatima;BELLAREDJ;femme;;034-02;PS;checked;Parti radical de gauche;
1714;Muriel;RESSIGUIER;femme;;034-02;LFI;checked;Divers gauche;
1715;Flavio;DALMAU;homme;;034-02;LRM;checked;Divers centre;
1716;William;OLHASQUE;homme;;034-02;Parti pirate;;Divers;
1717;Valérie;BRIOT;femme;;034-02;UDI;;Union des Démocrates et des Indépendants;
1718;Flavia;MANGANO;femme;;034-02;RN;;Rassemblement National;
1719;Frédéric;ASSIÉ;homme;;034-02;DVG;;Divers gauche;
1720;Anne;BRISSAUD;femme;;034-02;Les Centristes,LR;;Divers centre;
1721;Annie;YAGUE;femme;;034-02;LRM;;Ensemble ! (Majorité présidentielle);
1722;Sophie;DEFRETIN;femme;;034-02;Reconquête;;Reconquête !;
1723;Philippe;LECHAT;homme;;034-02;Parti animaliste;;Ecologistes;
1724;Jean Luc;BERGEON;homme;;034-03;PS;checked;Parti radical de gauche;
1725;Denis;CARABASSE;homme;;034-03;Parti animaliste;;Ecologistes;
1726;Nicolas;LAURON;homme;;034-03;Reconquête;;Reconquête !;
1727;Julia;MIGNACCA;femme;;034-03;EE-LV;;Ecologistes;https://twitter.com/JuliaMignacca
1728;Serge;GACHON;homme;;034-03;LO;;Divers extrême gauche;
1729;Laurence;CRISTOL;femme;;034-03;LRM;;Ensemble ! (Majorité présidentielle);
1730;Alain;BERTHET;homme;;034-03;LR;;Les Républicains;
1731;Philippe;SAUREL;homme;;034-03;DVG;;Divers gauche;
1732;Johana;MAUREL;femme;;034-03;RN;;Rassemblement National;
1733;Alexis;BOUDAUD-ANDUAGA;homme;;034-03;DVG;;Ecologistes;
1734;Laurian;COMBET;homme;;034-03;DIV;;Divers;
1735;Pierre;LE ROMAIN;homme;;034-04;DIV;;Divers;
1736;Alexandre;ARGUEL;homme;;034-04;Reconquête;;Reconquête !;
1737;Florence;LARUE;femme;;034-04;LO;;Divers extrême gauche;
1738;Roger;DUCAMP;homme;;034-04;DLF;;Droite souverainiste;
1739;Stéphane;CASSARINI;homme;;034-04;DVE;;Ecologistes;
1740;Jean-Noël;FLEURY;homme;;034-04;Résistons;;Divers droite;
1741;Julie;PÉRÉA;femme;;034-04;DIV;;Droite souverainiste;
1742;Michel;GARCIA;homme;;034-04;DVC;;Divers droite;
1743;Jean-François;ELIAOU;homme;checked;034-04;LRM;;Ensemble ! (Majorité présidentielle);
1744;Sébastien;ROME;homme;;034-04;LFI;;La France Insoumise;
1745;Jean-Pierre;PUGENS;homme;;034-04;PS;checked;Parti radical de gauche;
1746;Pierre;BASTIDE D'IZARD;homme;;034-04;MdR;;Divers droite;
1747;Joseph;FRANCIS;homme;;034-04;UDI;;Union des Démocrates et des Indépendants;
1748;Sébastien;GIAI GIANETTO;homme;;034-04;Parti animaliste;;Ecologistes;
1749;Manon;BOUQUIN;femme;;034-04;RN;;Rassemblement National;
1750;Régine;MARQUET;femme;;034-05;Patriotes;;Droite souverainiste;
1751;Pierre;POLARD;homme;;034-05;LFI;;La France Insoumise;https://twitter.com/pierre_polard
1752;Marie;BEDU;femme;;034-05;Parti animaliste;;Ecologistes;
1753;William;ROUANET;homme;;034-05;DVE;;Ecologistes;
1754;Véronique;CHESNARD;femme;;034-05;LO;;Divers extrême gauche;
1755;Aurélien;MANENC;homme;;034-05;PS;checked;Parti radical de gauche;
1756;Philippe;HUPPÉ;homme;checked;034-05;LRM;;Ensemble ! (Majorité présidentielle);
1757;Céline;VIALA;femme;;034-05;DVE;;Ecologistes;
1758;Richard;VINUESA;homme;;034-05;Reconquête;;Reconquête !;
1759;Lewis;MARCHAND;homme;;034-05;LR;;Les Républicains;
1760;Stéphanie;GALZY;femme;;034-05;RN;;Rassemblement National;
1761;Charles;SALVAING;homme;;034-05;Résistons;;Divers droite;
1762;Florence;TAILLADE;femme;;034-06;LR;;Les Républicains;
1763;Isabelle;NOEL;femme;;034-06;SOUV;;Droite souverainiste;
1764;Sylvie;FERRAND;femme;;034-06;Parti animaliste;;Ecologistes;
1765;Samantha;BERNARDI;femme;;034-06;DVE;;Ecologistes;
1766;Mathilde;TASTAVY;femme;;034-06;LRM;;Ensemble ! (Majorité présidentielle);
1767;Magali;CROZIER-DANIEL;femme;;034-06;LFI;;La France Insoumise;
1768;Florence;BRUTUS;femme;;034-06;PRG;;Parti radical de gauche;
1769;Laurent;GILHODES;homme;;034-06;LO;;Divers extrême gauche;
1770;Stéphane;KARGES;homme;;034-06;Parti pirate;;Divers;
1771;Henri;FABRE-LUCE;homme;;034-06;Reconquête;;Reconquête !;
1772;Oscar;ESSOMBA;homme;;034-06;LR;;Les Républicains;
1773;Solène;ROSSARD;femme;;034-06;DVE;;Ecologistes;
1774;Emmanuelle;MÉNARD;femme;;034-06;EXD;;Divers droite;
1775;Julie;GARCIN-SAUDO;femme;;034-07;PS;checked;Parti radical de gauche;
1776;Aurélien;LOPEZ LIGUORI;homme;;034-07;RN;;Rassemblement National;
1777;Magali;RICHAUD;femme;;034-07;Parti animaliste;;Ecologistes;
1778;Yves;MICHEL;homme;;034-07;DVD;;Divers droite;
1779;Jacqueline;GONZALES;femme;;034-07;EXG;;Divers extrême gauche;
1780;Gabriel;BLASCO;homme;;034-07;PCF;;Parti communiste français;
1781;Daniel;PILAUDEAU;homme;;034-07;LO;;Divers extrême gauche;
1782;Guillaume;SULTANI;homme;;034-07;DVE;;Ecologistes;
1783;Audrey;CAVAILLÉ;femme;;034-07;Reconquête;;Reconquête !;
1784;Georges;GALLERAND;homme;;034-07;Patriotes;;Droite souverainiste;
1785;Christophe;EUZET;homme;checked;034-07;LRM;;Ensemble ! (Majorité présidentielle);
1786;Nathalie;LEFEUVRE-ROUMANOS;femme;;034-08;LR;;Les Républicains;
1787;Jean-Baptiste;ROGER;homme;;034-08;DVE;;Ecologistes;
1788;Marie-France;BRITTO;femme;;034-08;MdR;;Divers droite;
1789;Colette;VIALLARD;femme;;034-08;Patriotes;;Droite souverainiste;
1790;Cédric;DELAPIERRE;homme;;034-08;RN;;Rassemblement National;
1791;Elsa;CESARI;femme;;034-08;Parti animaliste;;Ecologistes;
1792;Sylvain;CARRIERE;homme;;034-08;LFI;;La France Insoumise;
1793;Jean-François;AUDRIN;homme;;034-08;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
1794;Franck;SYLVESTRE;homme;;034-08;Reconquête;;Reconquête !;
1795;Olivier;ANDRIEU;homme;;034-08;FGR;;Divers gauche;
1796;Stanislas;THIRY;homme;;034-08;LRM;checked;Divers centre;
1797;Thomas;GARNIER;homme;;034-08;LO;;Divers extrême gauche;
1798;Jamila;MOUKRIM;femme;;034-09;DLF;;Droite souverainiste;
1799;Maya;BOUISSET;femme;;034-09;Reconquête;;Reconquête !;
1800;Frédéric;BORT;homme;;034-09;RN;;Rassemblement National;
